"","age","workclass","education.num","marital.status","occupation","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income","workclasscode","marital.statuscode","occupationcode","racecode","sexcode","native.countrycode","incomecode"
"2",82,"Private",9,"Widowed","Exec-managerial","White","Female",0,4356,18,"United-States","<=50K",3,7,4,5,1,39,1
"4",54,"Private",4,"Divorced","Machine-op-inspct","White","Female",0,3900,40,"United-States","<=50K",3,1,7,5,1,39,1
"5",41,"Private",10,"Separated","Prof-specialty","White","Female",0,3900,40,"United-States","<=50K",3,6,10,5,1,39,1
"6",34,"Private",9,"Divorced","Other-service","White","Female",0,3770,45,"United-States","<=50K",3,1,8,5,1,39,1
"7",38,"Private",6,"Separated","Adm-clerical","White","Male",0,3770,40,"United-States","<=50K",3,6,1,5,2,39,1
"8",74,"State-gov",16,"Never-married","Prof-specialty","White","Female",0,3683,20,"United-States",">50K",6,5,10,5,1,39,2
"9",68,"Federal-gov",9,"Divorced","Prof-specialty","White","Female",0,3683,40,"United-States","<=50K",1,1,10,5,1,39,1
"11",45,"Private",16,"Divorced","Prof-specialty","Black","Female",0,3004,35,"United-States",">50K",3,1,10,3,1,39,2
"12",38,"Self-emp-not-inc",15,"Never-married","Prof-specialty","White","Male",0,2824,45,"United-States",">50K",5,5,10,5,2,39,2
"13",52,"Private",13,"Widowed","Other-service","White","Female",0,2824,20,"United-States",">50K",3,7,8,5,1,39,2
"14",32,"Private",14,"Separated","Exec-managerial","White","Male",0,2824,55,"United-States",">50K",3,6,4,5,2,39,2
"16",46,"Private",15,"Divorced","Prof-specialty","White","Male",0,2824,40,"United-States",">50K",3,1,10,5,2,39,2
"17",45,"Private",7,"Divorced","Transport-moving","White","Male",0,2824,76,"United-States",">50K",3,1,14,5,2,39,2
"18",57,"Private",14,"Divorced","Exec-managerial","White","Male",0,2824,50,"United-States",">50K",3,1,4,5,2,39,2
"20",34,"Private",13,"Separated","Sales","White","Male",0,2824,50,"United-States",">50K",3,6,12,5,2,39,2
"21",37,"Private",13,"Never-married","Exec-managerial","White","Male",0,2824,40,"United-States",">50K",3,5,4,5,2,39,2
"22",29,"Private",7,"Separated","Sales","White","Female",0,2754,42,"United-States","<=50K",3,6,12,5,1,39,1
"23",61,"Private",9,"Divorced","Sales","White","Female",0,2754,25,"United-States","<=50K",3,1,12,5,1,39,1
"24",51,"Private",10,"Married-civ-spouse","Transport-moving","White","Male",0,2603,40,"United-States","<=50K",3,3,14,5,2,39,1
"26",21,"Private",11,"Married-civ-spouse","Craft-repair","White","Male",0,2603,40,"United-States","<=50K",3,3,3,5,2,39,1
"27",33,"Private",2,"Married-civ-spouse","Craft-repair","White","Male",0,2603,32,"Mexico","<=50K",3,3,3,5,2,26,1
"28",49,"Private",3,"Married-civ-spouse","Other-service","White","Male",0,2603,40,"Greece","<=50K",3,3,8,5,2,12,1
"29",37,"Self-emp-inc",6,"Never-married","Transport-moving","White","Male",0,2559,50,"United-States",">50K",4,5,14,5,2,39,2
"30",38,"Private",6,"Never-married","Prof-specialty","White","Male",0,2559,90,"United-States",">50K",3,5,10,5,2,39,2
"31",23,"Private",10,"Separated","Other-service","White","Male",0,2559,40,"United-States",">50K",3,6,8,5,2,39,2
"32",59,"Self-emp-inc",6,"Widowed","Exec-managerial","White","Female",0,2559,50,"United-States",">50K",4,7,4,5,1,39,2
"33",52,"Private",15,"Divorced","Exec-managerial","White","Male",0,2559,60,"United-States",">50K",3,1,4,5,2,39,2
"34",51,"Private",13,"Divorced","Exec-managerial","White","Male",0,2559,50,"United-States",">50K",3,1,4,5,2,39,2
"35",60,"Self-emp-not-inc",9,"Never-married","Exec-managerial","Black","Male",0,2559,50,"United-States",">50K",5,5,4,3,2,39,2
"36",63,"Federal-gov",16,"Divorced","Exec-managerial","White","Female",0,2559,60,"United-States",">50K",1,1,4,5,1,39,2
"37",53,"Private",9,"Never-married","Sales","White","Male",0,2559,48,"United-States",">50K",3,5,12,5,2,39,2
"38",51,"Private",15,"Never-married","Prof-specialty","White","Female",0,2559,50,"United-States",">50K",3,5,10,5,1,39,2
"39",37,"Self-emp-not-inc",16,"Never-married","Prof-specialty","White","Female",0,2559,60,"United-States",">50K",5,5,10,5,1,39,2
"40",54,"Private",14,"Divorced","Prof-specialty","White","Female",0,2559,40,"United-States",">50K",3,1,10,5,1,39,2
"41",44,"Private",13,"Divorced","Exec-managerial","White","Male",0,2547,50,"United-States",">50K",3,1,4,5,2,39,2
"42",43,"Private",14,"Divorced","Exec-managerial","White","Female",0,2547,40,"United-States",">50K",3,1,4,5,1,39,2
"43",51,"Private",10,"Divorced","Adm-clerical","White","Female",0,2547,40,"United-States",">50K",3,1,1,5,1,39,2
"44",43,"Private",14,"Divorced","Prof-specialty","White","Female",0,2547,40,"United-States",">50K",3,1,10,5,1,39,2
"46",48,"Private",13,"Married-spouse-absent","Sales","White","Female",0,2472,70,"United-States",">50K",3,4,12,5,1,39,2
"47",71,"Private",9,"Married-civ-spouse","Sales","White","Male",0,2467,52,"United-States","<=50K",3,3,12,5,2,39,1
"48",73,"Self-emp-not-inc",9,"Married-civ-spouse","Farming-fishing","Asian-Pac-Islander","Male",0,2457,40,"Vietnam","<=50K",5,3,5,2,2,40,1
"51",40,"Self-emp-not-inc",15,"Never-married","Prof-specialty","White","Male",0,2444,45,"United-States",">50K",5,5,10,5,2,39,2
"52",50,"Private",9,"Widowed","Sales","White","Female",0,2444,72,"United-States",">50K",3,7,12,5,1,39,2
"53",51,"State-gov",11,"Divorced","Tech-support","White","Male",0,2444,39,"United-States",">50K",6,1,13,5,2,39,2
"54",42,"Private",10,"Never-married","Exec-managerial","White","Female",0,2444,40,"United-States",">50K",3,5,4,5,1,39,2
"55",39,"Private",14,"Never-married","Sales","White","Male",0,2444,45,"United-States",">50K",3,5,12,5,2,39,2
"56",32,"Private",13,"Never-married","Exec-managerial","White","Male",0,2444,50,"United-States",">50K",3,5,4,5,2,39,2
"57",53,"Private",10,"Separated","Craft-repair","White","Male",0,2444,45,"United-States",">50K",3,6,3,5,2,39,2
"58",40,"Local-gov",10,"Never-married","Protective-serv","White","Male",0,2444,40,"United-States",">50K",2,5,11,5,2,39,2
"59",38,"Private",13,"Never-married","Sales","White","Female",0,2444,45,"United-States",">50K",3,5,12,5,1,39,2
"60",33,"Private",11,"Separated","Craft-repair","White","Male",0,2444,42,"United-States",">50K",3,6,3,5,2,39,2
"61",43,"Private",12,"Divorced","Craft-repair","White","Male",0,2444,70,"United-States",">50K",3,1,3,5,2,39,2
"62",50,"Self-emp-inc",7,"Never-married","Exec-managerial","White","Male",0,2444,40,"United-States",">50K",4,5,4,5,2,39,2
"63",44,"Private",10,"Married-civ-spouse","Adm-clerical","White","Female",0,2415,6,"United-States",">50K",3,3,1,5,1,39,2
"64",51,"Self-emp-not-inc",13,"Married-civ-spouse","Sales","Asian-Pac-Islander","Male",0,2415,40,"China",">50K",5,3,12,2,2,3,2
"65",41,"Private",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,40,"United-States",">50K",3,3,10,5,2,39,2
"67",37,"Private",14,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,60,"United-States",">50K",3,3,4,5,2,39,2
"68",55,"Self-emp-inc",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,35,"Greece",">50K",4,3,10,5,2,12,2
"69",39,"Self-emp-inc",13,"Married-civ-spouse","Sales","White","Male",0,2415,60,"United-States",">50K",4,3,12,5,2,39,2
"70",42,"Self-emp-inc",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,60,"United-States",">50K",4,3,10,5,2,39,2
"71",49,"Private",13,"Married-civ-spouse","Sales","White","Male",0,2415,55,"United-States",">50K",3,3,12,5,2,39,2
"72",47,"Self-emp-not-inc",9,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,50,"United-States",">50K",5,3,4,5,2,39,2
"73",41,"Local-gov",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,45,"United-States",">50K",2,3,10,5,2,39,2
"74",55,"Self-emp-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,50,"United-States",">50K",4,3,4,5,2,39,2
"75",39,"Private",14,"Married-civ-spouse","Exec-managerial","White","Female",0,2415,65,"United-States",">50K",3,3,4,5,1,39,2
"76",42,"Private",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,60,"United-States",">50K",3,3,4,5,2,39,2
"78",46,"Private",14,"Married-civ-spouse","Sales","White","Male",0,2415,65,"United-States",">50K",3,3,12,5,2,39,2
"79",40,"Private",14,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,45,"United-States",">50K",3,3,4,5,2,39,2
"80",32,"Private",13,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,48,"United-States",">50K",3,3,10,5,2,39,2
"81",41,"Self-emp-inc",10,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,55,"United-States",">50K",4,3,4,5,2,39,2
"82",60,"Self-emp-inc",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,80,"United-States",">50K",4,3,10,5,2,39,2
"83",31,"Private",14,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,70,"Taiwan",">50K",3,3,4,5,2,36,2
"84",58,"Self-emp-not-inc",10,"Married-civ-spouse","Farming-fishing","White","Male",0,2415,40,"United-States",">50K",5,3,5,5,2,39,2
"85",37,"Self-emp-inc",13,"Married-civ-spouse","Sales","White","Male",0,2415,50,"United-States",">50K",4,3,12,5,2,39,2
"86",44,"Self-emp-not-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,50,"United-States",">50K",5,3,4,5,2,39,2
"89",55,"Self-emp-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,50,"United-States",">50K",4,3,4,5,2,39,2
"90",44,"Self-emp-inc",14,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,55,"United-States",">50K",4,3,10,5,2,39,2
"91",39,"Private",15,"Married-civ-spouse","Prof-specialty","Asian-Pac-Islander","Male",0,2415,67,"India",">50K",3,3,10,2,2,19,2
"92",46,"Self-emp-not-inc",13,"Married-civ-spouse","Sales","White","Male",0,2415,40,"United-States",">50K",5,3,12,5,2,39,2
"93",39,"Private",10,"Married-civ-spouse","Farming-fishing","White","Male",0,2415,99,"United-States",">50K",3,3,5,5,2,39,2
"94",62,"Self-emp-inc",13,"Married-civ-spouse","Farming-fishing","White","Male",0,2415,60,"United-States",">50K",4,3,5,5,2,39,2
"95",31,"Self-emp-not-inc",9,"Married-civ-spouse","Other-service","White","Female",0,2415,40,"United-States",">50K",5,3,8,5,1,39,2
"96",46,"Private",13,"Married-civ-spouse","Adm-clerical","Asian-Pac-Islander","Male",0,2415,35,"Philippines",">50K",3,3,1,2,2,30,2
"97",46,"Self-emp-not-inc",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,80,"United-States",">50K",5,3,10,5,2,39,2
"98",39,"Self-emp-inc",11,"Married-civ-spouse","Craft-repair","White","Male",0,2415,40,"United-States",">50K",4,3,3,5,2,39,2
"99",39,"Private",15,"Married-civ-spouse","Sales","White","Male",0,2415,99,"United-States",">50K",3,3,12,5,2,39,2
"100",59,"Private",16,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,45,"United-States",">50K",3,3,10,5,2,39,2
"101",50,"Self-emp-inc",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,60,"United-States",">50K",4,3,10,5,2,39,2
"102",46,"Private",16,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,55,"United-States",">50K",3,3,10,5,2,39,2
"103",53,"Self-emp-not-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,40,"United-States",">50K",5,3,4,5,2,39,2
"104",50,"Self-emp-not-inc",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,30,"United-States",">50K",5,3,10,5,2,39,2
"105",41,"Self-emp-inc",15,"Married-civ-spouse","Exec-managerial","White","Female",0,2415,55,"United-States",">50K",4,3,4,5,1,39,2
"106",36,"Private",13,"Married-civ-spouse","Sales","White","Male",0,2415,45,"United-States",">50K",3,3,12,5,2,39,2
"107",38,"Private",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,90,"United-States",">50K",3,3,10,5,2,39,2
"108",54,"Private",10,"Married-civ-spouse","Sales","White","Male",0,2415,50,"United-States",">50K",3,3,12,5,2,39,2
"109",50,"Private",13,"Married-civ-spouse","Exec-managerial","White","Female",0,2415,20,"United-States",">50K",3,3,4,5,1,39,2
